nome,tecnologia,outrosDetalhes
Desenvolvedor(a) Wordpress Sênior ,"WordPress,PHP,API,Bootstrap,Git,Testes unitários","VitaminaWeb,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora"
"DEV Unity e Unreal (para VR, AR e Games )","Blade,C#,C++,Unity,Unity3D Asset,UnrealScript","Flowih,Remoto,Startup,Até R$18.000,Pleno,PJ,Aceita candidatos de fora"
Analista Desenvolvedor(a) Java,"Angular,Flutter,PLSQL,SCRUM,Java","TALENT FOUR CONSULTING,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$12.000,Sênior,CLT,Não aceita candidatos de fora"
Desenvolvedor(a) PHP Sênior,"Node.js,PHP,SQL,VBA","Synchro Soluções fiscais,Remoto,Pequena/média empresa,Até R$8.000,Sênior,CLT,Aceita candidatos de fora"
[Híbrido] - Desenvolvedor(a) Front-End ReactJS - Pleno,"Git,ReactJS,TypeScript,Figma,RESTful","Botdesigner,Florianópolis, Santa Catarina, Brasil,Startup,Até R$10.000,Pleno,PJ,Aceita candidatos de fora"
Desenvolvedor(a) Front End Sênior,"Bootstrap,SCSS,TypeScript,Angular","Bart Digital,Remoto,Startup,Sênior,PJ,Aceita candidatos de fora"
Desenvolvedor(a) Java Pleno,"Hibernate,Java,JavaScript,MVC,ORACLE,Spring Boot","Apus Tech IT,Remoto,Pequena/média empresa,Até R$8.000,Pleno,PJ,Aceita candidatos de fora"
 Desenvolvedor(a) GCP Sênior,"Google Cloud,Cloud,Node.js","Fornax Tecnologia,Remoto,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora"
Desenvolvedor(a) Java Sênior,"Docker,Hibernate,Java,JavaScript,ORACLE,Spring Boot","Apus Tech IT,Remoto,Pequena/média empresa,Até R$12.000,Sênior,PJ,Aceita candidatos de fora"
Desenvolvedor(a) PHP Júnior,"HTML,JavaScript,JSON,MySQL,PHP,API","ACS Consultoria e Serviços,Goiânia, Goiás, Brasil,Pequena/média empresa,Até R$3.500,Júnior,CLT,Não aceita candidatos de fora"
Techlead Pleno - Django e Vue ,"Django,PostgreSQL,SQL,Vue.js","MPS,Remoto,Startup,Até R$7.000,Pleno,PJ,Aceita candidatos de fora"
Desenvolvedor(a) Fullstack Ruby on Rails/ Angular Sênior,"Angular,Firebird,Git,PostgreSQL,Ruby on Rails","WK Technology,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora"
Desenvolvedor(a) Full Stack - PHP/Laravel/Maria DB - Pleno,"jQuery,Laravel,PHP,MariaDB,JavaScript,Bootstrap","ADVAud Banco de Dados para Consultas LTDA,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$7.000,Pleno,PJ,Não aceita candidatos de fora"
