nome,tecnologia,outrosDetalhes,tecnologias,nivel,remoto,salario,salario_maximo,Tecnologia 1,Tecnologia 2,Tecnologia 3,Tecnologia 4,Tecnologia 5,Tecnologia 6,Tecnologia 7,Tecnologia 8,Tecnologia 9,Tecnologia 10,Tecnologia 11,Tecnologia 12
Desenvolvedor(a) Wordpress Sênior ,"WordPress,PHP,API,Bootstrap,Git,Testes unitários","VitaminaWeb,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora","['WordPress', 'PHP', 'API', 'Bootstrap', 'Git', 'Testes unitários']",Sênior,Remoto,PJ,,WordPress,PHP,API,Bootstrap,Git,Testes unitários,,,,,,
"DEV Unity e Unreal (para VR, AR e Games )","Blade,C#,C++,Unity,Unity3D Asset,UnrealScript","Flowih,Remoto,Startup,Até R$18.000,Pleno,PJ,Aceita candidatos de fora","['Blade', 'C#', 'C++', 'Unity', 'Unity3D Asset', 'UnrealScript']",Não especificado,Remoto,PJ,18.000,Blade,C#,C++,Unity,Unity3D Asset,UnrealScript,,,,,,
Analista Desenvolvedor(a) Java,"Angular,Flutter,PLSQL,SCRUM,Java","TALENT FOUR CONSULTING,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$12.000,Sênior,CLT,Não aceita candidatos de fora","['Angular', 'Flutter', 'PLSQL', 'SCRUM', 'Java']",Não especificado,Não Remoto,CLT,12.000,Angular,Flutter,PLSQL,SCRUM,Java,,,,,,,
Desenvolvedor(a) PHP Sênior,"Node.js,PHP,SQL,VBA","Synchro Soluções fiscais,Remoto,Pequena/média empresa,Até R$8.000,Sênior,CLT,Aceita candidatos de fora","['Node.js', 'PHP', 'SQL', 'VBA']",Sênior,Remoto,CLT,8.000,Node.js,PHP,SQL,VBA,,,,,,,,
[Híbrido] - Desenvolvedor(a) Front-End ReactJS - Pleno,"Git,ReactJS,TypeScript,Figma,RESTful","Botdesigner,Florianópolis, Santa Catarina, Brasil,Startup,Até R$10.000,Pleno,PJ,Aceita candidatos de fora","['Git', 'ReactJS', 'TypeScript', 'Figma', 'RESTful']",Pleno,Não Remoto,PJ,10.000,Git,ReactJS,TypeScript,Figma,RESTful,,,,,,,
Desenvolvedor(a) Front End Sênior,"Bootstrap,SCSS,TypeScript,Angular","Bart Digital,Remoto,Startup,Sênior,PJ,Aceita candidatos de fora","['Bootstrap', 'SCSS', 'TypeScript', 'Angular']",Sênior,Remoto,PJ,,Bootstrap,SCSS,TypeScript,Angular,,,,,,,,
Desenvolvedor(a) Java Pleno,"Hibernate,Java,JavaScript,MVC,ORACLE,Spring Boot","Apus Tech IT,Remoto,Pequena/média empresa,Até R$8.000,Pleno,PJ,Aceita candidatos de fora","['Hibernate', 'Java', 'JavaScript', 'MVC', 'ORACLE', 'Spring Boot']",Pleno,Remoto,PJ,8.000,Hibernate,Java,JavaScript,MVC,ORACLE,Spring Boot,,,,,,
 Desenvolvedor(a) GCP Sênior,"Google Cloud,Cloud,Node.js","Fornax Tecnologia,Remoto,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora","['Google Cloud', 'Cloud', 'Node.js']",Sênior,Remoto,CLT,,Google Cloud,Cloud,Node.js,,,,,,,,,
Desenvolvedor(a) Java Sênior,"Docker,Hibernate,Java,JavaScript,ORACLE,Spring Boot","Apus Tech IT,Remoto,Pequena/média empresa,Até R$12.000,Sênior,PJ,Aceita candidatos de fora","['Docker', 'Hibernate', 'Java', 'JavaScript', 'ORACLE', 'Spring Boot']",Sênior,Remoto,PJ,12.000,Docker,Hibernate,Java,JavaScript,ORACLE,Spring Boot,,,,,,
Desenvolvedor(a) PHP Júnior,"HTML,JavaScript,JSON,MySQL,PHP,API","ACS Consultoria e Serviços,Goiânia, Goiás, Brasil,Pequena/média empresa,Até R$3.500,Júnior,CLT,Não aceita candidatos de fora","['HTML', 'JavaScript', 'JSON', 'MySQL', 'PHP', 'API']",Júnior,Não Remoto,CLT,3.500,HTML,JavaScript,JSON,MySQL,PHP,API,,,,,,
Techlead Pleno - Django e Vue ,"Django,PostgreSQL,SQL,Vue.js","MPS,Remoto,Startup,Até R$7.000,Pleno,PJ,Aceita candidatos de fora","['Django', 'PostgreSQL', 'SQL', 'Vue.js']",Pleno,Remoto,PJ,7.000,Django,PostgreSQL,SQL,Vue.js,,,,,,,,
Desenvolvedor(a) Fullstack Ruby on Rails/ Angular Sênior,"Angular,Firebird,Git,PostgreSQL,Ruby on Rails","WK Technology,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora","['Angular', 'Firebird', 'Git', 'PostgreSQL', 'Ruby on Rails']",Sênior,Remoto,PJ,,Angular,Firebird,Git,PostgreSQL,Ruby on Rails,,,,,,,
Desenvolvedor(a) Full Stack - PHP/Laravel/Maria DB - Pleno,"jQuery,Laravel,PHP,MariaDB,JavaScript,Bootstrap","ADVAud Banco de Dados para Consultas LTDA,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$7.000,Pleno,PJ,Não aceita candidatos de fora","['jQuery', 'Laravel', 'PHP', 'MariaDB', 'JavaScript', 'Bootstrap']",Pleno,Não Remoto,PJ,7.000,jQuery,Laravel,PHP,MariaDB,JavaScript,Bootstrap,,,,,,
Dev C# ASP .NET Core,"ASP.NET Core,.NET Core,SQL,C#","UXCOMEX TECNOLOGIA LTDA,São Paulo, São Paulo, Brasil,Startup,Até R$4.000,Júnior,CLT,Não aceita candidatos de fora","['ASP.NET Core', '.NET Core', 'SQL', 'C#']",Não especificado,Não Remoto,CLT,4.000,ASP.NET Core,.NET Core,SQL,C#,,,,,,,,
Desenvolvedor(a) Full Stack (React & JAVA) com 5+ Anos de Experiência no Mercado,"Java,MySQL,ReactJS","Qikserve,Remoto,Pequena/média empresa,Até R$12.000,Pleno,PJ,Aceita candidatos de fora","['Java', 'MySQL', 'ReactJS']",Não especificado,Remoto,PJ,12.000,Java,MySQL,ReactJS,,,,,,,,,
DESENVOLVEDOR(A) SR,"C#,Clean Code,Design Pattern,MariaDB,SQL,ASP.NET MVC","enContact,Remoto,Pequena/média empresa,Até R$15.000,Sênior,CLT / PJ,Aceita candidatos de fora","['C#', 'Clean Code', 'Design Pattern', 'MariaDB', 'SQL', 'ASP.NET MVC']",Não especificado,Remoto,CLT / PJ,15.000,C#,Clean Code,Design Pattern,MariaDB,SQL,ASP.NET MVC,,,,,,
Desenvolvedor(a) Sênior Java Full Stack,"Testes automatizados,Angular,Design Pattern,Java,PostgreSQL,Spring Boot","Pontta Tecnologia,Remoto,Pequena/média empresa,Até R$10.000,Sênior,PJ,Aceita candidatos de fora","['Testes automatizados', 'Angular', 'Design Pattern', 'Java', 'PostgreSQL', 'Spring Boot']",Sênior,Remoto,PJ,10.000,Testes automatizados,Angular,Design Pattern,Java,PostgreSQL,Spring Boot,,,,,,
Desenvolvedor(a) Python/Ruby Júnior (Operações de Dados e Backend) [100% remoto],"Python,MongoDB,Ruby","Speed IO,Remoto,Startup,Até R$4.000,Júnior,PJ,Aceita candidatos de fora","['Python', 'MongoDB', 'Ruby']",Júnior,Remoto,PJ,4.000,Python,MongoDB,Ruby,,,,,,,,,
Dev VueJS - Júnior ,"TypeScript,Vue.js,JavaScript","Speed IO,Remoto,Startup,Até R$5.000,Júnior,PJ,Aceita candidatos de fora","['TypeScript', 'Vue.js', 'JavaScript']",Júnior,Remoto,PJ,5.000,TypeScript,Vue.js,JavaScript,,,,,,,,,
Dev C# ASP .NET Core Pleno,"ASP.NET Core,C#,.NET Core","Bonifiq,Remoto,Startup,Até R$8.000,Pleno,PJ,Aceita candidatos de fora","['ASP.NET Core', 'C#', '.NET Core']",Pleno,Remoto,PJ,8.000,ASP.NET Core,C#,.NET Core,,,,,,,,,
Desenvolvedor(a) Front-End ReactJS - Sênior ,"CSS,ReactJS,JavaScript,TypeScript,NextJS","Xgrow,Remoto,Pequena/média empresa,Até R$8.000,Sênior,PJ,Aceita candidatos de fora","['CSS', 'ReactJS', 'JavaScript', 'TypeScript', 'NextJS']",Sênior,Remoto,PJ,8.000,CSS,ReactJS,JavaScript,TypeScript,NextJS,,,,,,,
JavaScript Full-Stack Developer ,"Angular,JavaScript,MongoDB,Node.js,TypeScript","Xogito Group,Remoto,Pequena/média empresa,Acima de R$18.000,Sênior,PJ,Aceita candidatos de fora","['Angular', 'JavaScript', 'MongoDB', 'Node.js', 'TypeScript']",Não especificado,Remoto,PJ,,Angular,JavaScript,MongoDB,Node.js,TypeScript,,,,,,,
Analista de TI - Back-end Júnior,"Git,MongoDB,MySQL,Node.js,Phalcon,PHP","MEDIA TRADE PUBLICIDADE E SERVICOS MULTIDISCIPLINARES LTDA,São Paulo, São Paulo, Brasil,Startup,Pleno,CLT / PJ,Não aceita candidatos de fora","['Git', 'MongoDB', 'MySQL', 'Node.js', 'Phalcon', 'PHP']",Júnior,Não Remoto,CLT / PJ,,Git,MongoDB,MySQL,Node.js,Phalcon,PHP,,,,,,
Desenvolvedor(a) Flutter Pleno,"Dart,Flutter,RESTful,SQL","TRID.DEV,Remoto,Pequena/média empresa,Até R$18.000,Pleno,PJ,Aceita candidatos de fora","['Dart', 'Flutter', 'RESTful', 'SQL']",Pleno,Remoto,PJ,18.000,Dart,Flutter,RESTful,SQL,,,,,,,,
Desenvolvedor(a) Java Pleno,"Java,PostgreSQL,Python,SQL","TRID.DEV,Remoto,Pequena/média empresa,Até R$15.000,Pleno,PJ,Aceita candidatos de fora","['Java', 'PostgreSQL', 'Python', 'SQL']",Pleno,Remoto,PJ,15.000,Java,PostgreSQL,Python,SQL,,,,,,,,
Desenvolvedor(a) Laravel Pleno - 100% presencial,"Laravel,PHP,PostgreSQL,RESTful","Doutor-IE,Florianópolis, Santa Catarina, Brasil,Pequena/média empresa,Até R$8.000,Pleno,CLT,Aceita candidatos de fora","['Laravel', 'PHP', 'PostgreSQL', 'RESTful']",Pleno,Não Remoto,CLT,8.000,Laravel,PHP,PostgreSQL,RESTful,,,,,,,,
Desenvolvedor(a) Backend Sênior,"API,AWS EC2 (Elastic Compute Cloud),Docker,Laravel,MySQL,PHP","Gentle,Remoto,Startup,Até R$10.000,Sênior,PJ,Aceita candidatos de fora","['API', 'AWS EC2 (Elastic Compute Cloud)', 'Docker', 'Laravel', 'MySQL', 'PHP']",Sênior,Remoto,PJ,10.000,API,AWS EC2 (Elastic Compute Cloud),Docker,Laravel,MySQL,PHP,,,,,,
Gameplay Developer Mid,"C++,Clean Code,UnrealScript","Luby Software do seu jeito ,London, Ontário, Canadá,Pequena/média empresa,Acima de R$18.000,Pleno,PJ,Aceita candidatos de fora","['C++', 'Clean Code', 'UnrealScript']",Não especificado,Não Remoto,PJ,,C++,Clean Code,UnrealScript,,,,,,,,,
Desenvolvedor(a) Unreal Engine (NPC/AI) Mid,"C++,TDD,UnrealScript","Luby Software do seu jeito ,Remoto,Pequena/média empresa,Pleno,PJ,Aceita candidatos de fora","['C++', 'TDD', 'UnrealScript']",Não especificado,Remoto,PJ,,C++,TDD,UnrealScript,,,,,,,,,
Desenvolvedor(a) Full Stack Pleno,"Google Cloud,Node.js,Git,ReactJS,SQL Server,Testes automatizados","Tetris IT,Rio de Janeiro, Rio de Janeiro, Brasil,Pequena/média empresa,Até R$12.000,Pleno,PJ,Aceita candidatos de fora","['Google Cloud', 'Node.js', 'Git', 'ReactJS', 'SQL Server', 'Testes automatizados']",Pleno,Não Remoto,PJ,12.000,Google Cloud,Node.js,Git,ReactJS,SQL Server,Testes automatizados,,,,,,
"Vencida, Desenvolvedor React Native Senior","API,Node.js,React Native","Deploy IT ,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora","['API', 'Node.js', 'React Native']",Não especificado,Remoto,PJ,,API,Node.js,React Native,,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Drupal","API,CSS,Docker,Drupal,HTML,PHP","VELIFERA CENTRO DE SERVICOS COMPARTILHADOS,Campinas, SP,Startup,Até R$8.000,Pleno,CLT / PJ,Aceita candidatos de fora","['API', 'CSS', 'Docker', 'Drupal', 'HTML', 'PHP']",Não especificado,Não Remoto,CLT / PJ,8.000,API,CSS,Docker,Drupal,HTML,PHP,,,,,,
"Vencida, Desenvolvedor(a) Back End Pleno","Git,JavaScript,CSS,HTML","Mandic Cloud Solution,Remoto,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora","['Git', 'JavaScript', 'CSS', 'HTML']",Pleno,Remoto,CLT,,Git,JavaScript,CSS,HTML,,,,,,,,
"Vencida, Desenvolvedor(a) Pleno","Node.js,MongoDB,JavaScript","Nucont,Remoto,Startup,Até R$7.000,Pleno,PJ,Aceita candidatos de fora","['Node.js', 'MongoDB', 'JavaScript']",Pleno,Remoto,PJ,7.000,Node.js,MongoDB,JavaScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Sênior","SQL,PHP,JavaScript,HTML,CSS","Bling,Remoto,Startup,Sênior,CLT,Aceita candidatos de fora","['SQL', 'PHP', 'JavaScript', 'HTML', 'CSS']",Sênior,Remoto,CLT,,SQL,PHP,JavaScript,HTML,CSS,,,,,,,
"Vencida, DESENVOLVEDOR(A) FLUTTER","Flutter,SCRUM,Git","KLB Group,Remoto,Pequena/média empresa,Até R$15.000,Sênior,CLT / PJ,Aceita candidatos de fora","['Flutter', 'SCRUM', 'Git']",Não especificado,Remoto,CLT / PJ,15.000,Flutter,SCRUM,Git,,,,,,,,,
"Vencida, Desenvolvedor(a) Javascript Júnior","Git,CSS,JavaScript,Ionic,Angular","Razviti Soluções Tecnológicas LTDA,Belo Horizonte,Pequena/média empresa,Até R$2.000,Júnior,CLT / PJ,Aceita candidatos de fora","['Git', 'CSS', 'JavaScript', 'Ionic', 'Angular']",Júnior,Não Remoto,CLT / PJ,2.000,Git,CSS,JavaScript,Ionic,Angular,,,,,,,
"Vencida, 9274 - Analista Desenvolvedor(a) Full Stack C#","CSS,C#,JavaScript,.NET","Talent Group,Remoto,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora","['CSS', 'C#', 'JavaScript', '.NET']",Não especificado,Remoto,CLT,,CSS,C#,JavaScript,.NET,,,,,,,,
"Vencida, Desenvolvedor(a) C# Sênior","API,C#,.NET","ForLogic,Remoto,Pequena/média empresa,Até R$15.000,Sênior,CLT / PJ,Não aceita candidatos de fora","['API', 'C#', '.NET']",Sênior,Remoto,CLT / PJ,15.000,API,C#,.NET,,,,,,,,,
"Vencida, Desenvolvedor(a) C e C++ Pleno (Presencial)","API,C,C++","IGS Desenvolvimento de Software ,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$7.000,Pleno,CLT,Aceita candidatos de fora","['API', 'C', 'C++']",Pleno,Não Remoto,CLT,7.000,API,C,C++,,,,,,,,,
"Vencida, .NET Developer Senior (Work From Home)","CSS,HTML,JavaScript,C#,.NET,SQL Server","BairesDev,Remoto,Grande empresa,Sênior,PJ,Aceita candidatos de fora","['CSS', 'HTML', 'JavaScript', 'C#', '.NET', 'SQL Server']",Não especificado,Remoto,PJ,,CSS,HTML,JavaScript,C#,.NET,SQL Server,,,,,,
"Vencida, Python Developer Senior (Work From Home)","Django,MySQL,ORACLE,Python,SQL","BairesDev,Remoto,Grande empresa,Sênior,PJ,Aceita candidatos de fora","['Django', 'MySQL', 'ORACLE', 'Python', 'SQL']",Não especificado,Remoto,PJ,,Django,MySQL,ORACLE,Python,SQL,,,,,,,
"Vencida, DESENVOLVEDOR(A) FRONT-END JÚNIOR","CSS,Git,HTML,JavaScript,ReactJS","Grupo SOITIC,Remoto,Pequena/média empresa,Até R$2.500,Júnior,CLT,Aceita candidatos de fora","['CSS', 'Git', 'HTML', 'JavaScript', 'ReactJS']",Júnior,Remoto,CLT,2.500,CSS,Git,HTML,JavaScript,ReactJS,,,,,,,
"Vencida, ANALISTA FULL STACK C# SÊNIOR","C#,JavaScript,.NET Core,PostgreSQL","PX Bank,Belo Horizonte, Minas Gerais, Brasil,Startup,Até R$8.000,Sênior,CLT,Não aceita candidatos de fora","['C#', 'JavaScript', '.NET Core', 'PostgreSQL']",Sênior,Não Remoto,CLT,8.000,C#,JavaScript,.NET Core,PostgreSQL,,,,,,,,
"Vencida, DEV - Mobile Android Sênior","Java,Kotlin,Android,Android Studio","PX Bank,Belo Horizonte, Minas Gerais, Brasil,Startup,Até R$7.000,Sênior,CLT,Não aceita candidatos de fora","['Java', 'Kotlin', 'Android', 'Android Studio']",Sênior,Não Remoto,CLT,7.000,Java,Kotlin,Android,Android Studio,,,,,,,,
"Vencida, Analista Desenvolvedor(a) .Net (Fullstack) Pleno","Angular,C#,.NET Core","Talent Group,Remoto,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora","['Angular', 'C#', '.NET Core']",Pleno,Remoto,CLT,,Angular,C#,.NET Core,,,,,,,,,
"Vencida, Desenvolvedor(a) PHP Júnior","CSS,HTML,JavaScript,MySQL,PHP,Bootstrap","CliniSYS - Tecnologia e Sistemas de Saúde,Remoto,Pequena/média empresa,Até R$3.000,Júnior,CLT,Aceita candidatos de fora","['CSS', 'HTML', 'JavaScript', 'MySQL', 'PHP', 'Bootstrap']",Júnior,Remoto,CLT,3.000,CSS,HTML,JavaScript,MySQL,PHP,Bootstrap,,,,,,
"Vencida, Desenvolvedor(a) Angular Pleno","Angular,CSS,HTML,JavaScript,TypeScript","ForLogic,Remoto,Pequena/média empresa,Até R$6.000,Pleno,CLT,Aceita candidatos de fora","['Angular', 'CSS', 'HTML', 'JavaScript', 'TypeScript']",Pleno,Remoto,CLT,6.000,Angular,CSS,HTML,JavaScript,TypeScript,,,,,,,
"Vencida, Desenvolvedor(a) C# Pleno","Angular,C#,.NET","ForLogic,Cornélio Procópio, Paraná, Brasil,Pequena/média empresa,Até R$8.000,Pleno,CLT,Aceita candidatos de fora","['Angular', 'C#', '.NET']",Pleno,Não Remoto,CLT,8.000,Angular,C#,.NET,,,,,,,,,
"Vencida, Desenvolvedor(a) Front-End (Analista de Marketing Place)","CSS,HTML,ReactJS,React Native,WordPress","Prognum Tecnologia,Rio de Janeiro, Rio de Janeiro, Brasil,Pequena/média empresa,Pleno,CLT,Não aceita candidatos de fora","['CSS', 'HTML', 'ReactJS', 'React Native', 'WordPress']",Não especificado,Não Remoto,CLT,,CSS,HTML,ReactJS,React Native,WordPress,,,,,,,
"Vencida, Desenvolvedor(a) .Net (C#) Sênior","C#,.NET,SQL Server,Angular,API,Bootstrap","Codecycle,Remoto,Pequena/média empresa,Até R$12.000,Sênior,PJ,Aceita candidatos de fora","['C#', '.NET', 'SQL Server', 'Angular', 'API', 'Bootstrap']",Sênior,Remoto,PJ,12.000,C#,.NET,SQL Server,Angular,API,Bootstrap,,,,,,
